subject,recording,section,x-avg,y-avg,pupil-size-left-avg,pupil-size-right-avg,outlier-score-l2,outlier-score-max
P21,Rec1,28,596.1213958810068,299.28203661327234,5.258652992543859,5.199243311517925,6.365988467049318,4.42996816085513
P24,Rec1,16,634.0740674955595,347.3752220248668,4.904101746611023,5.3249370898745045,5.611214901876891,4.215914661954256
P9,Rec1,12,604.0913838120105,319.2213726221559,4.673760173418835,4.86017573968525,4.678506971323325,3.144778600110368
P21,Rec1,4,611.1113914224724,303.5266834853483,4.620444394640662,4.590765209279384,4.423781673882439,2.910573545308745
P21,Rec1,36,631.0602346217477,367.90419611971726,4.792881354235589,4.706140003984963,4.365731269429811,3.321097296932443
P29,Rec1,6,579.8762620596814,375.9657841597487,4.693728209782365,4.670375541171191,4.179123018003039,3.085041633797093
P20,Rec1,32,589.1892061781609,424.43660201149424,4.430180119627035,4.663026363281251,4.104245341439234,2.6904081871008394
P27,Rec1,36,620.1707732634338,483.5461992136304,3.0038409176605505,2.933716722924858,4.094611948063792,3.762484958254722
P21,Rec1,26,609.9752207180694,329.92942907592703,4.564681070512066,4.658412082116931,4.074019761934985,2.777816802913982
P21,Rec1,2,667.611616672284,328.93247949668574,4.522726114022769,4.450352807811856,3.9653822460345967,2.677933888151073
P30,Rec1,22,717.1730235783634,280.4528432732316,3.2476733491967176,3.3490118831773,3.9511191868009328,2.9354672152183094
P2,Rec1,32,559.9160117878192,468.7134437271962,2.864430558259598,2.9329872612474213,3.9441709955627258,3.2733055540889264
P9,Rec1,14,630.7758874186095,294.3479311069103,4.230094796681369,4.451473970349367,3.892573249051397,2.477211782266089
P13,Rec1,40,527.3630682705827,323.44657084830493,2.4645616620847655,2.7345378231021558,3.804745381275274,2.221975007557512
P24,Rec1,14,672.5026109660574,356.08248279136006,4.26835063569339,4.700408316255535,3.8039061457526486,2.776562420615746
P20,Rec1,36,681.9081029247243,469.17652229502954,3.2124143457993712,3.411671450375579,3.750175118304363,3.288577733159218
P27,Rec1,28,559.9043842585666,408.39585515487056,2.477162453601177,2.438285960546661,3.7336743007631656,2.4369537861779955
P24,Rec1,38,594.0686941726925,396.1419963136254,4.23459440555595,4.76364858345147,3.6673919585081025,2.9223123430794473
P17,Rec1,38,595.2295865184155,357.0281445448228,4.4021440253214035,4.634942288800093,3.5949647344332845,2.6256827857135936
P24,Rec1,10,608.2988054911749,352.9076484221786,4.2932728416221035,4.725199119518717,3.5882744580973727,2.833697815730804
P24,Rec1,24,611.5944175892718,381.65468579448,4.250023918003842,4.764932891948383,3.5825879707096835,2.925272290469684
P27,Rec1,38,569.3509301955796,418.15670217840676,2.5523566731319556,2.516667642554319,3.570572067683612,2.2563074261650673
P21,Rec1,10,708.4293515830223,316.5657403566985,3.9788220174547213,4.072778752258168,3.52316329494232,2.38486527867038
P24,Rec1,30,568.1135077793493,370.3953323903819,4.232345912217115,4.647046357997406,3.475374806931639,2.653579049047489
P27,Rec1,26,649.6288653733098,450.9349794238683,2.879637451685283,2.8312486346364882,3.4620677095980934,2.68697764065175
P12,Rec1,34,738.3135410240592,327.9125539790253,3.4987127231303004,3.3598768228604468,3.4258959818002985,3.1150567788673813
P9,Rec1,24,491.4581965932177,322.16721362712923,3.1891799062093034,3.3086260396806795,3.3722616029300867,2.9166167466016497
P21,Rec1,16,683.9984648449494,305.50852011053115,4.011294555572613,4.0405536864189955,3.3696879102781043,2.1091392225907297
P10,Rec1,8,538.3649302865996,366.6351665375678,4.2915334746482054,4.323948117899561,3.3635922461991306,2.1275294395526707
P9,Rec1,16,744.9033037244818,359.297646875487,3.5789914624824686,3.700833289283673,3.354769826377244,3.276071308696198
